store_id,store_name,city,state,region,created_date,load_type
STORED20260503001,"Gill, Khatri and Mukherjee",Bhopal,Sikkim,East,2026-05-03,DELTA
STORED20260503002,"Dua, Mitra and Dhawan",Ranchi,Karnataka,East,2026-05-03,DELTA
STORED20260503003,"Ramakrishnan, Jani and Cherian",Gandhinagar,Tripura,North,2026-05-03,DELTA
STORED20260503004,Sampath PLC,Ichalkaranji,Assam,West,2026-05-03,DELTA
STORED20260503005,"Sidhu, Sidhu and Sankaran",Chandigarh,Tamil Nadu,South,2026-05-03,DELTA
STORED20260503006,Sane-Walla,Gaya,Odisha,North,2026-05-03,DELTA
STORED20260503007,Dass-Bahri,Tirunelveli,Tripura,South,2026-05-03,DELTA
STORED20260503008,"Tailor, Peri and Chakrabarti",Tiruchirappalli,Tamil Nadu,East,2026-05-03,DELTA
STORED20260503009,Bhatnagar-Batta,Hajipur,Telangana,North,2026-05-03,DELTA
STORED20260503010,Padmanabhan PLC,Rajpur Sonarpur,Arunachal Pradesh,South,2026-05-03,DELTA
