order_id,customer_id,product_id,store_id,quantity,unit_price,discount_amount,tax_amount,sale_amount,sale_date,payment_method,load_type
ORD202605020000001,,PROD00696,STORE0031,2,4565.81,70.66,456.58,9517.54,2026-05-02,CASH,DELTA
ORD202605020000002,CUST002397,PROD00216,STORE0085,3,3870.37,20.44,580.56,-500.0,2026-05-02,CARD,DELTA
ORD202605020000003,CUST001333,PROD00750,STORE0093,0,3028.72,60.39,454.31,9480.08,2026-05-02,CASH,DELTA
ORD202605020000004,CUST003601,PROD00081,STORE0062,2,526.46,118.47,52.65,987.1,2026-06-14,NETBANKING,DELTA
ORD202605020000006,CUST000260,PROD00895,STORE0078,3,1676.08,2.76,251.41,5276.89,2026-05-02,CASH,DELTA
ORD202605020000006,CUST000086,PROD00125,STORE0007,5,4608.26,31.52,1152.07,24161.85,2026-05-02,NETBANKING,DELTA
ORD202605020000007,CUST001952,INVALID_PRODUCT,STORE0028,2,2709.12,174.54,270.91,5514.61,2026-05-02,CASH,DELTA
ORD202605020000008,CUST002168,PROD00943,STORE0062,2,1666.91,43.85,166.69,3456.66,2026-05-02,NETBANKING,DELTA
ORD202605020000009,CUST001812,PROD00280,STORE0065,3,4303.96,150.52,645.59,13406.95,2026-05-02,NETBANKING,DELTA
ORD202605020000010,CUST003305,PROD00446,STORE0043,4,563.11,111.86,112.62,2253.2,2026-05-02,CASH,DELTA
ORD202605020000011,CUST001720,PROD00536,STORE0085,5,4597.34,141.85,1149.34,23994.19,2026-05-02,CASH,DELTA
ORD202605020000012,CUST004118,PROD00939,STORE0072,4,827.67,4.02,165.53,3472.19,2026-05-02,CASH,DELTA
ORD202605020000013,CUST001267,PROD00201,STORE0055,5,1351.84,57.51,337.96,7039.65,2026-05-02,CARD,DELTA
ORD202605020000014,CUST002785,PROD00949,STORE0093,3,3346.83,73.22,502.02,10469.29,2026-05-02,UPI,DELTA
ORD202605020000015,CUST004580,PROD00613,STORE0048,1,1763.15,60.0,88.16,1791.31,2026-05-02,CARD,DELTA
ORD202605020000016,CUST002686,PROD00103,STORE0078,2,3807.48,3.95,380.75,7991.76,2026-05-02,CARD,DELTA
ORD202605020000017,CUST000828,PROD00114,STORE0031,1,1163.14,153.21,58.16,1068.09,2026-05-02,CARD,DELTA
ORD202605020000018,CUST001487,PROD00456,STORE0055,5,4544.7,91.22,1136.17,23768.45,2026-05-02,UPI,DELTA
ORD202605020000019,CUST001585,PROD00308,STORE0034,1,1910.85,89.08,95.54,1917.31,2026-05-02,NETBANKING,DELTA
ORD202605020000020,CUST003581,PROD00858,STORE0078,4,186.88,17.43,37.38,767.47,2026-05-02,UPI,DELTA
