sale_date,order_id,customer_id,product_id,store_id,quantity,unit_price,discount_amount,tax_amount,sale_amount,payment_method,load_type
2026-05-04,ORD202605040000001,,PROD00932,STORE0045,5,2468.26,66.03,617.07,12892.34,NETBANKING,DELTA
2026-05-04,ORD202605040000002,CUST004729,PROD00563,STORE0022,1,127.18,92.17,6.36,-500.0,UPI,DELTA
2026-05-04,ORD202605040000003,CUST003891,PROD00835,STORE0016,0,4349.66,85.36,869.93,18183.21,CARD,DELTA
2026-06-14,ORD202605040000004,CUST003782,PROD00211,STORE0100,3,787.58,130.39,118.14,2350.49,UPI,DELTA
2026-05-04,ORD202605040000006,CUST004181,PROD00523,STORE0084,1,59.11,195.58,2.96,-133.51,NETBANKING,DELTA
2026-05-04,ORD202605040000006,CUST001429,PROD00472,STORE0042,1,623.32,109.99,31.17,544.5,CASH,DELTA
2026-05-04,ORD202605040000007,CUST003413,INVALID_PRODUCT,STORE0096,3,346.28,53.57,51.94,1037.21,UPI,DELTA
2026-05-04,ORD202605040000008,CUST002381,PROD00659,STORE0024,3,4262.67,186.65,639.4,13240.76,UPI,DELTA
2026-05-04,ORD202605040000009,CUST003654,PROD00571,STORE0008,3,1663.62,85.04,249.54,5155.36,NETBANKING,DELTA
2026-05-04,ORD202605040000010,CUST000650,PROD00695,STORE0073,3,2073.63,146.72,311.04,6385.21,CARD,DELTA
2026-05-04,ORD202605040000011,CUST001725,PROD00488,STORE0021,4,342.88,57.23,68.58,1382.87,UPI,DELTA
2026-05-04,ORD202605040000012,CUST004632,PROD00976,STORE0069,1,4312.29,172.44,215.61,4355.46,CARD,DELTA
2026-05-04,ORD202605040000013,CUST001510,PROD00034,STORE0022,4,3707.68,5.17,741.54,15567.09,CARD,DELTA
2026-05-04,ORD202605040000014,CUST002912,PROD00705,STORE0040,5,2366.73,186.12,591.68,12239.21,CARD,DELTA
2026-05-04,ORD202605040000015,CUST002727,PROD00029,STORE0095,1,1951.56,70.3,97.58,1978.84,NETBANKING,DELTA
2026-05-04,ORD202605040000016,CUST002821,PROD00629,STORE0084,3,4416.81,26.16,662.52,13886.79,NETBANKING,DELTA
2026-05-04,ORD202605040000017,CUST000728,PROD00881,STORE0038,1,4068.94,155.91,203.45,4116.48,UPI,DELTA
2026-05-04,ORD202605040000018,CUST000859,PROD00796,STORE0034,1,3795.26,161.07,189.76,3823.95,CASH,DELTA
2026-05-04,ORD202605040000019,CUST004692,PROD00434,STORE0057,3,2062.02,172.22,309.3,6323.14,NETBANKING,DELTA
2026-05-04,ORD202605040000020,CUST003141,PROD00385,STORE0032,4,163.38,0.89,32.68,685.31,CARD,DELTA
2026-05-04,ORD202605040000021,CUST000829,PROD00173,STORE0094,5,2599.79,140.47,649.95,13508.43,UPI,DELTA
2026-05-04,ORD202605040000022,CUST003944,PROD00150,STORE0068,4,2667.61,162.57,533.52,11041.39,CARD,DELTA
2026-05-04,ORD202605040000023,CUST002712,PROD00894,STORE0024,1,4329.31,140.42,216.47,4405.36,CARD,DELTA
2026-05-04,ORD202605040000024,CUST002935,PROD00571,STORE0057,5,714.46,142.72,178.62,3608.2,CARD,DELTA
2026-05-04,ORD202605040000025,CUST003344,PROD00755,STORE0071,4,2901.37,153.15,580.27,12032.6,CARD,DELTA
2026-05-04,ORD202605040000026,CUST004287,PROD00780,STORE0043,4,234.2,177.98,46.84,805.66,CASH,DELTA
