store_id,store_name,city,state,region,created_date,load_type
STORED20260502001,Grover and Sons,Yamunanagar,Arunachal Pradesh,East,2026-05-02,DELTA
STORED20260502002,Shan Ltd,Gangtok,Himachal Pradesh,North,2026-05-02,DELTA
STORED20260502003,Chauhan Group,Dindigul,Odisha,South,2026-05-02,DELTA
STORED20260502004,Keer Group,Orai,Telangana,North,2026-05-02,DELTA
STORED20260502005,Kothari-Sinha,Hapur,Punjab,East,2026-05-02,DELTA
STORED20260502006,"Bail, Cherian and Dhingra",Madanapalle,Odisha,East,2026-05-02,DELTA
STORED20260502007,Toor-Mallick,Agartala,Tripura,West,2026-05-02,DELTA
STORED20260502008,Deshmukh PLC,Panvel,Sikkim,East,2026-05-02,DELTA
STORED20260502009,Swaminathan-Borde,Bijapur,Sikkim,North,2026-05-02,DELTA
STORED20260502010,Nori Ltd,Shivpuri,Assam,South,2026-05-02,DELTA
