store_id,store_name,city,state,region,created_date,load_type
STORED20260505001,Suri LLC,Kota,Maharashtra,West,2026-05-05,DELTA
STORED20260505002,Padmanabhan PLC,Srikakulam,Uttarakhand,South,2026-05-05,DELTA
STORED20260505003,"Sehgal, Bhattacharyya and Thakur",Madurai,Bihar,West,2026-05-05,DELTA
STORED20260505004,Sathe-Sathe,Jamshedpur,Madhya Pradesh,North,2026-05-05,DELTA
STORED20260505005,Dada Ltd,Tadepalligudem,Gujarat,East,2026-05-05,DELTA
STORED20260505006,"Bedi, Ratti and Dhar",Sasaram,Tripura,East,2026-05-05,DELTA
STORED20260505007,Choudhry-Chander,Buxar,Goa,East,2026-05-05,DELTA
STORED20260505008,"Kashyap, Mand and Loyal",Bikaner,Maharashtra,East,2026-05-05,DELTA
STORED20260505009,"Bath, Varghese and Kar",Miryalaguda,Telangana,West,2026-05-05,DELTA
STORED20260505010,"Shetty, Manda and Kala",Farrukhabad,Arunachal Pradesh,North,2026-05-05,DELTA
